i,score,my,my_sen,else,else_sen,nice,nice_sen,honest,honest_sen
47,3,3,0.296,3,-0.7845,3,0.9646,3,0.4927
48,3,3,0.6486,2,-0.9349,3,0.9422,3,0.6474
49,3,3,0.3182,3,-0.968,4,0.8625,3,0.7992
50,4,3,0.8932,4,0.6369,4,0.9504,3,0.9548
51,2,3,0.9153,2,-0.7311,3,0.984,3,-0.8847
52,2,3,-0.4939,2,-0.8807,3,0.9346,2,-0.0709
53,4,3,0.8341,3,-0.8196,4,0.4678,3,0.9253
54,2,3,-0.7469,3,-0.6956,4,0.8718,3,0.9603
55,4,3,0.836,3,-0.836,3,0.9198,3,0.9485
56,4,3,0.0679,3,0.8358,3,0.9782,3,0.8834
57,2,2,0.5356,2,0.3612,2,0.9246,2,-0.7516
58,3,2,0.8641,2,-0.7506,3,0.8856,2,-0.0352
59,2,3,-0.2023,3,0.5922,3,0.9476,3,0.85
60,4,3,0.9311,2,0.7814,3,0.9062,3,0.9661
61,3,3,-0.9601,2,-0.9462,3,0.8934,3,0.3102
62,4,4,0.6808,3,0.8749,4,0.9158,4,0.7535
63,2,3,0.9007,2,-0.9244,3,0.8225,2,0.624
64,3,3,0.101,2,-0.3406,3,0.8016,3,-0.7964
65,5,4,0.6353,3,-0.8271,4,0.5423,3,0.4939
66,4,3,0.6428,3,0.8257,3,0.9332,3,0.4019
67,2,2,-0.5432,2,-0.9345,2,-0.2481,2,-0.3624
68,2,3,-0.467,2,-0.886,3,0.9557,2,-0.7579
69,3,3,0.2263,3,-0.7512,4,0.979,3,0.5413
70,6,4,0.5714,4,0.7783,4,0.7501,4,0.5267
71,1,2,0.9537,2,-0.5583,3,0.9732,2,0.5994
72,3,3,0.1154,2,-0.8625,3,0.8214,3,0.8952
73,4,3,0.8107,3,0.872,3,0.9019,3,-0.0258
74,1,3,0.4033,2,-0.8126,3,0.969,2,-0.7935
75,3,3,0.8717,2,-0.9657,3,-0.5635,3,0.9603
76,2,2,-0.3335,2,-0.4215,3,0.9589,2,0.3314
77,5,3,0.8748,3,-0.9083,4,0.6996,3,0.6486
78,3,3,0.2732,2,-0.5927,3,0.9738,2,-0.8519
79,2,2,0.9513,2,-0.8555,3,0.9449,2,0.9223
80,2,2,-0.8462,2,0.6808,3,0.9286,2,-0.9212
81,4,3,0.9706,2,-0.6652,3,0.8433,3,0.0917
82,2,2,0.2006,2,-0.8739,3,0.8976,2,0.8215
83,4,2,-0.765,2,0.6597,3,0.955,2,0.9493
84,3,3,0.9331,2,0.631,3,0.9694,3,0.9072
85,4,2,0.829,3,0.5719,3,0.9661,2,0.4215
86,3,3,-0.1779,2,-0.8555,3,0.9645,2,-0.8752
87,5,4,0.8316,4,0.8625,4,0.9371,3,0.6179
88,3,2,0.9473,2,-0.8297,3,0.9467,2,0.5647
89,3,3,0.8493,2,-0.848,3,0.945,3,-0.4957
90,3,3,0.8689,3,0.56,3,0.9595,3,0.8705
91,3,3,-0.3311,2,-0.6863,3,0.9369,2,0.9674
92,3,3,0.8889,2,-0.2638,3,0.631,2,0.9099
93,2,2,-0.7351,2,-0.3182,3,0.9765,2,-0.0387
94,2,3,-0.2023,2,-0.4666,3,0.6428,2,-0.8329
95,1,2,-0.5023,1,0.4228,2,0.7897,2,0.3182
96,3,3,0.2944,2,0.705,4,0.8402,3,-0.6712
97,2,3,0.916,3,0.3637,3,0.8513,3,0.4767
98,3,3,0.8201,2,0.2592,3,0.9733,2,-0.8628
99,1,4,0.6908,3,0.7635,4,0.9371,3,0.8674
100,3,3,0.9191,3,0.1147,3,0.8422,3,-0.4215
101,3,3,0.8182,2,-0.9513,3,0.9652,3,0.8268
102,4,3,0.9422,3,0.2263,3,0.9042,3,0.0369
103,4,2,0.8442,2,-0.7511,3,0.7964,3,0.9153
104,4,3,0.7841,3,0.93,4,0.8674,3,0.9482
105,2,3,0.6652,2,-0.9274,3,0.9666,3,-0.4666
106,4,3,0.714,2,-0.6663,3,0.8658,3,0.867
107,3,4,0.8779,3,0.91,4,0.9705,3,0.1899
108,4,3,0.1629,3,0.4678,3,0.8932,3,0.6697
109,5,3,-0.2543,3,0.898,4,0.9416,3,0.7003
110,2,2,-0.8014,2,-0.6904,3,0.8458,2,-0.4497
111,3,3,0.34,3,-0.9618,3,0.8709,3,0.7392
112,5,4,0.8981,5,0.9186,4,0.9169,4,0.1531
113,2,3,0.3716,2,-0.9356,4,0.6249,3,0.9194
114,5,4,0.8591,4,0.6908,4,0.9552,4,0.4877
115,4,3,0.918,4,0.9298,4,0.9062,3,0.9485
116,3,3,0.34,3,0.6403,3,0.7959,3,0.6303
117,4,4,0.7504,3,-0.6073,4,0.9571,3,0.9698
118,3,3,-0.765,2,-0.7845,3,0.9109,2,-0.4678
119,3,3,0.2023,2,-0.9118,3,0.9468,2,0.3694
120,4,3,0.2382,3,-0.9247,4,0.8945,3,0.5849
121,2,2,0.6757,2,-0.8521,2,0.9768,2,-0.9014
122,2,2,0.9541,2,-0.8948,3,0.9467,2,-0.7534
123,4,3,0.7003,2,-0.97,3,0.8436,3,-0.7598
124,3,4,0.3071,3,0.128,4,0.8802,3,0.6115
125,2,3,0.7321,2,0.705,3,0.9654,2,-0.5841
126,3,3,0.9845,3,-0.9343,3,0.9615,3,0.8402
127,3,3,0.963,2,-0.4655,3,0.9418,3,0.7184
128,3,3,0.4404,3,-0.2575,3,0.9305,3,-0.6777
129,4,3,0.9081,3,0.5859,4,0.7269,3,0.3384
130,3,2,-0.9022,2,-0.8316,3,0.9547,2,-0.802
131,3,2,0.4767,2,-0.6486,3,0.8074,3,0.6656
132,3,4,0.5152,3,-0.0516,4,0.9791,3,0.6997
133,3,3,0.9234,3,-0.2392,4,0.9558,3,-0.5118
134,4,3,0.7906,3,-0.8406,4,0.9353,3,0.9223
135,5,3,0.9346,3,0.7964,4,0.9651,3,0.9497
136,4,3,0.6908,2,-0.8106,3,0.9564,2,-0.3182
137,5,3,0.9127,3,0.7785,4,0.8834,4,0.8748
138,2,2,-0.1531,2,-0.8573,3,0.9484,2,0.3326
139,5,3,0.7814,3,-0.4243,4,0.9153,3,0.8047
140,1,2,-0.8338,2,-0.2732,3,0.8047,2,-0.8807
141,2,3,0.7003,3,0.5594,4,0.9231,3,0.6486
142,3,2,-0.9409,2,-0.8022,3,0.8442,3,0.8859
143,4,3,0.8885,2,-0.9726,3,0.7959,2,0.7906
144,2,3,0.9022,2,-0.8595,3,0.959,2,0.2919
145,3,2,0.3211,2,-0.9035,3,0.9323,2,0.4939
146,2,3,0.7935,2,0.6232,3,0.9589,2,0.9441
147,2,3,0.8883,3,-0.5499,4,0.9468,3,0.92
148,3,4,0.4497,4,0.7096,4,0.6908,4,0.7351
149,2,2,-0.4514,2,-0.431,3,0.8883,2,-0.7184
150,4,3,0.8285,3,-0.8991,3,0.945,3,0.8935
151,4,4,0.7935,4,0.8689,4,0.9583,3,0.9455
152,2,3,0.868,3,0.8316,3,0.9696,2,-0.8276
153,3,2,-0.422,2,0.3645,3,0.957,2,-0.0553
154,2,3,0.7269,3,-0.7752,3,0.8555,2,0.8934
155,2,3,0.7218,3,0.8111,4,0.9647,3,0.6652
156,3,3,0.9058,3,-0.5747,4,0.9419,3,-0.6814
157,4,3,0.9377,4,0.6585,3,0.96,3,0.9403
158,3,3,0.7506,3,-0.7655,3,0.9416,2,0.7239
159,2,3,0.93,2,-0.9283,3,0.9401,2,-0.9539
160,3,2,0.8176,2,0.5921,3,0.9703,2,-0.5647
161,4,4,0.899,5,0.8126,4,0.7391,4,0.9476
162,2,2,-0.5423,2,0.2006,3,0.9512,2,-0.3211
163,2,3,0.6059,3,0.6305,3,0.9787,3,0.6187
164,4,3,0.5734,2,-0.6908,3,0.9538,2,0.8276
165,2,3,0.5647,2,-0.2514,3,0.9311,3,0.7825
166,4,3,0.8126,2,0.1505,3,0.6588,3,0.5762
167,1,2,-0.5334,1,-0.7239,2,0.9664,2,-0.7918
168,2,3,0.7684,2,0.631,3,0.3818,2,-0.9372
169,2,3,0.683,3,0.5853,4,0.5994,3,0.5367
170,3,3,0.7269,3,0.0,4,0.8126,3,-0.5927
171,2,3,0.8046,2,-0.4767,3,0.8818,3,0.2991
172,4,4,0.8313,2,-0.7543,3,0.431,3,-0.1063
173,3,3,0.8126,3,0.9274,3,0.9037,3,0.4767
174,5,3,0.9168,3,0.6597,3,0.8622,3,0.2289
175,2,3,0.4019,3,-0.8402,3,0.7089,3,0.9644
176,3,3,0.7506,3,0.4939,3,0.9402,3,0.7351
177,2,3,0.5913,2,-0.8887,3,0.6901,2,-0.581
178,4,3,0.7506,3,0.3804,4,0.7414,3,0.5159
179,2,2,0.8519,2,-0.8294,3,0.9412,2,-0.6965
180,4,3,0.7003,3,-0.3291,3,0.9194,3,0.969
181,2,3,0.7576,2,-0.8134,3,0.7256,3,0.9442
182,4,3,0.8945,3,-0.5279,3,0.9323,3,-0.0516
183,2,3,0.4751,2,0.7791,3,0.9758,2,0.8914
184,5,3,0.5719,3,-0.866,4,0.9678,3,0.8748
185,3,3,-0.2748,3,0.7925,4,0.6705,3,0.2128
186,3,3,0.517,2,-0.0258,3,0.9115,2,-0.552
187,5,3,0.8885,3,0.7935,4,0.9117,3,0.8856
188,3,4,0.8779,3,0.7184,4,0.9637,3,-0.6542
189,3,3,0.8271,3,0.4588,3,0.7899,3,0.8672
190,2,2,0.8068,2,-0.7692,2,0.937,2,0.431
191,2,3,0.6369,2,-0.8674,3,0.9564,2,0.7003
192,2,2,0.7576,2,-0.7261,3,0.8804,2,-0.9637
193,4,4,0.5994,3,0.6369,4,0.8748,3,0.9348
194,5,4,0.778,4,0.8014,4,0.926,4,0.9708
195,2,2,0.7391,2,-0.5038,3,0.6411,2,0.7506
196,3,4,0.8402,3,0.5423,4,0.7684,4,0.3291
197,5,3,0.9343,3,-0.5423,4,0.7419,3,-0.0294
198,3,3,-0.4215,2,0.066,3,0.8774,2,0.836
199,1,2,-0.5868,2,-0.1901,3,0.9275,2,0.936
200,4,3,0.6115,3,-0.5574,3,0.9244,3,-0.2111
201,3,3,-0.6858,2,-0.8375,3,0.9764,2,0.8
202,4,4,0.5407,3,0.4588,4,0.9446,4,0.8018
203,3,4,0.9042,3,0.4497,4,0.7538,3,0.765
204,2,2,-0.8422,2,-0.7787,3,0.9714,2,-0.9309
205,3,4,0.8209,4,0.6486,4,0.9623,4,0.4215
206,3,3,0.8289,2,-0.6808,3,0.7043,3,-0.6712
207,2,3,0.1531,3,-0.128,3,0.7227,3,0.7251
208,2,2,0.2023,2,-0.8338,3,0.944,3,-0.1313
209,2,3,0.5267,2,0.8847,3,0.7377,2,0.7564
210,3,3,-0.2857,3,0.5663,4,0.9323,3,0.5423
211,4,3,0.8442,2,-0.8161,3,0.9059,3,0.9472
212,5,4,0.802,4,0.85,4,0.9691,4,0.8707
213,3,2,0.2238,2,-0.1027,3,0.9192,2,0.7351
214,4,3,-0.3634,3,-0.8519,3,0.7964,3,0.631
215,3,3,0.6361,3,-0.9689,3,0.9554,2,-0.8519
216,1,2,0.8334,2,-0.5432,3,0.9324,2,0.5486
217,2,3,0.09,3,0.4404,4,0.9258,2,0.7717
218,3,4,-0.0129,4,0.25,4,0.9732,4,0.9592
219,2,4,0.7876,4,0.8074,4,0.9366,3,0.6486
220,3,3,0.1103,3,-0.5789,3,0.9497,3,0.9292
221,4,3,0.7574,3,0.5789,4,0.9354,3,0.8267
222,2,3,0.5719,3,-0.0772,3,0.9178,3,0.0489
223,3,3,0.8442,3,-0.0292,3,0.9184,3,0.7906
224,5,3,0.4939,3,-0.6546,3,0.9402,3,0.8428
225,1,2,0.7789,2,-0.6077,2,0.5187,2,-0.4777
226,3,3,0.5106,3,0.8173,4,0.872,3,0.4363
227,3,3,0.9231,3,0.6124,3,0.8553,3,0.4215
228,3,3,0.9628,3,-0.5927,3,0.8882,3,0.8627
229,2,2,-0.3612,2,-0.8477,2,0.6239,2,0.7609
230,2,3,0.9422,2,0.5593,3,0.9442,3,0.5346
231,4,3,0.908,2,-0.4512,3,0.9712,3,-0.2592
232,5,4,0.7962,4,0.872,4,0.9595,4,0.9459
233,3,3,-0.4601,3,-0.9074,3,0.5647,3,0.9413
234,2,2,0.8126,2,-0.7909,3,0.9421,2,0.6597
235,3,3,0.4767,2,-0.6652,3,0.8779,2,0.8807
236,6,4,0.8214,5,0.891,5,0.9109,4,0.7612
237,5,4,0.4404,3,0.9349,4,0.9652,4,0.34
238,4,3,0.8455,3,0.7574,4,0.9523,3,0.1027
239,2,3,0.6808,3,0.4756,4,0.8977,3,0.5994
240,2,3,0.4976,2,-0.6322,3,0.9293,3,-0.2732
241,3,3,0.8074,3,-0.8734,3,0.9447,2,-0.8414
242,3,3,0.6757,2,-0.755,4,0.9761,3,-0.3519
243,3,2,0.3038,2,-0.8445,3,0.9458,2,-0.9339
244,3,3,0.6369,3,-0.7767,3,0.9267,2,-0.8176
245,5,3,0.5023,3,-0.0369,4,0.9598,3,0.8892
246,2,3,0.7092,2,-0.8271,3,0.9665,2,0.8316
247,1,2,-0.9199,1,-0.6487,2,0.6486,2,0.7717
248,3,4,0.9267,3,0.6701,4,0.1272,3,0.2617
249,3,3,0.128,3,-0.6392,4,0.9423,3,-0.8915
250,2,2,0.34,2,0.296,3,0.6103,2,0.584
251,2,2,-0.7721,2,-0.9404,3,0.9606,2,-0.1779
252,3,4,0.8625,3,0.4118,4,0.9153,3,0.6939
253,3,2,0.7859,2,-0.6249,3,0.8735,2,0.1891
254,2,3,0.7096,3,0.8294,3,0.6746,3,0.4104
255,4,4,0.5423,4,0.6361,4,0.9041,4,0.5346
256,5,4,0.6808,3,-0.6369,4,0.9577,3,0.6131
257,2,3,0.8104,2,0.4497,3,0.8313,3,0.0772
258,2,4,0.9266,3,0.7615,4,0.9544,3,0.6889
259,3,3,0.937,3,-0.7783,3,0.7511,3,0.9206
260,3,3,0.6097,2,-0.714,4,0.8945,3,0.908
261,2,3,0.0633,2,0.2263,3,0.957,2,0.4961
262,3,2,0.8568,2,-0.5719,3,0.4939,2,0.8591
263,1,2,0.8422,2,0.0516,3,0.6076,2,0.0302
264,4,3,0.91,3,0.577,4,0.886,3,0.4404
265,4,4,0.5994,4,0.6808,5,0.8807,4,0.7845
266,3,4,0.9001,4,0.8418,4,0.9621,3,0.8176
267,2,3,0.7024,3,0.714,3,0.9782,3,0.9109
268,3,3,0.7783,2,0.2748,3,0.9595,3,0.9072
269,3,2,0.8464,2,-0.6369,3,0.8553,2,0.4588
270,2,2,0.891,2,-0.3732,3,0.9642,2,-0.6688
271,4,4,0.8625,5,0.9517,4,0.9496,4,0.9169
272,5,4,0.7684,5,0.765,4,0.7363,4,0.7469
273,4,3,0.8271,3,0.903,4,0.8481,3,0.8295
274,4,3,0.7506,2,-0.9645,3,0.9852,3,0.8296
275,4,4,0.9118,4,0.5719,4,0.8537,3,0.9508
276,5,3,0.8402,3,0.7096,3,0.9621,3,0.9112
277,3,2,0.5719,2,-0.5859,3,0.8126,2,0.8591
278,2,2,-0.2023,2,-0.9469,3,0.7845,2,-0.908
279,1,3,0.7351,2,0.7999,3,0.96,2,0.0608
280,3,3,0.7783,3,-0.0516,3,0.9359,3,0.5777
281,4,4,0.8519,3,0.7935,4,0.9419,3,0.9459
282,2,3,0.8578,3,-0.2551,3,0.9403,2,-0.0795
283,3,4,0.9061,4,0.6059,4,0.7224,3,0.8462
284,3,3,-0.3832,3,0.4588,3,0.6858,3,0.9
285,4,4,0.6956,4,0.8201,4,0.7814,3,-0.7506
286,3,3,0.3612,3,0.7469,3,0.9243,3,0.9564
287,2,2,0.3291,2,-0.7791,3,0.9502,2,-0.4939
288,4,3,0.7181,2,-0.7311,3,0.128,3,0.5045
289,4,4,0.9478,4,0.882,4,0.9612,4,0.9562
290,3,3,0.3818,3,0.8515,4,0.9677,3,0.9558
291,1,2,0.5856,2,-0.6486,3,0.959,3,0.72
292,3,3,0.9127,3,0.1779,4,0.9009,3,0.2862
293,3,3,0.9558,3,0.3898,4,0.92,3,0.9604
294,3,2,0.8881,2,-0.0176,3,0.7457,2,0.631
295,5,3,0.8732,3,0.0516,3,-0.0,3,0.2617
296,3,3,0.8266,2,0.34,3,0.9224,3,-0.5439
297,4,3,0.5859,2,-0.8489,3,0.4215,2,0.4393
298,4,3,0.6705,2,-0.9434,3,0.9296,3,-0.81
299,3,3,-0.1779,2,-0.9372,4,0.8883,3,-0.9239
300,2,3,-0.8446,2,-0.9052,3,0.9595,2,-0.7788
301,2,2,0.8907,2,-0.5871,3,0.8829,2,0.6319
302,2,3,0.3291,3,-0.4396,3,0.8932,3,-0.7105
303,3,3,0.024,3,0.0,3,0.9384,3,0.1513
304,3,3,0.962,3,-0.802,3,0.6696,3,0.9212
305,2,2,0.6423,2,-0.741,2,0.9259,2,-0.1531
306,2,2,0.714,2,-0.1779,3,0.9134,3,-0.0428
307,1,3,0.9628,2,0.7959,3,0.9922,2,-0.5628
308,1,2,-0.6627,2,-0.8231,2,0.9752,2,-0.521
309,3,3,0.6169,3,0.7958,4,0.9059,3,0.336
310,4,3,0.6956,3,0.2023,3,0.7717,3,-0.8798
311,3,3,0.8196,2,-0.3832,3,0.9441,2,-0.9413
312,3,3,0.9269,3,0.8316,3,0.891,3,-0.0534
313,3,3,-0.0516,2,-0.5267,3,0.6956,3,0.9809
314,2,2,-0.4019,2,-0.1531,3,0.8953,2,-0.6124
315,4,3,0.6407,3,-0.775,4,0.9169,3,0.9452
316,3,3,0.5851,3,0.8536,3,0.9125,3,0.5775
317,2,2,-0.4215,2,-0.7992,3,0.9318,2,-0.9201
318,5,4,0.91,5,0.9231,5,0.9753,4,0.6855
319,3,3,0.7304,3,-0.1235,4,0.953,3,0.9001
320,3,3,0.7553,3,0.8173,3,0.9382,3,0.9169
321,3,3,0.7783,2,0.9185,3,0.9769,3,0.9885
322,5,4,0.7184,4,-0.2023,4,0.9108,3,0.1263
323,3,2,0.535,2,-0.9628,4,0.86,3,-0.7226
324,2,2,-0.8105,2,-0.2285,3,-0.773,2,-0.5499
325,2,3,0.9431,2,-0.912,3,0.6456,3,0.296
326,3,3,-0.0414,3,0.7677,3,0.8264,3,0.8834
327,3,3,0.8481,2,-0.7941,4,0.8908,3,0.9481
328,3,3,0.0516,2,0.2946,3,0.9223,3,0.8126
329,3,3,-0.8074,2,-0.8807,3,0.867,2,-0.5994
330,3,3,0.9201,2,0.0503,3,0.9364,3,0.4111
331,3,3,0.7776,3,0.8176,4,0.9511,3,0.6705
332,3,3,0.6124,2,-0.8484,3,0.976,2,-0.6486
333,5,3,0.9473,3,0.2484,4,0.9623,3,0.923
334,3,3,0.1531,2,-0.25,3,0.9792,2,0.5915
335,1,1,-0.5256,1,-0.2263,2,0.6105,1,-0.4767
336,2,2,-0.9233,2,-0.7788,3,0.8782,2,0.4343
337,4,4,0.6249,5,0.7964,5,0.9805,4,0.7992
338,2,3,-0.8922,2,0.128,3,0.9606,2,-0.4953
339,1,2,0.8196,2,-0.875,2,0.9705,2,-0.8625
340,3,3,-0.9201,3,0.872,3,0.7783,3,0.7647
341,2,3,0.8279,2,-0.946,3,0.9612,3,0.8955
342,2,3,0.5789,3,0.7594,4,0.296,3,0.8588
343,2,2,-0.7322,2,-0.6711,3,0.6696,2,-0.745
344,1,2,0.5346,2,-0.7144,3,0.7906,2,-0.2975
345,3,3,0.9211,3,-0.1779,3,0.9348,3,0.0745
346,3,3,0.8885,2,-0.0441,3,0.9186,2,-0.8446
347,2,3,0.6908,3,-0.8215,3,0.8458,3,0.9728
348,2,3,0.8289,3,0.4445,4,0.9583,3,0.7812
349,3,3,0.802,3,-0.7016,3,0.9649,3,0.2361
350,2,2,0.7469,3,-0.2732,3,0.9199,3,0.4933
351,3,3,0.893,3,0.7814,4,0.9411,3,0.9001
352,3,3,0.8402,4,0.7227,3,0.9508,3,0.9559
353,1,2,-0.8755,2,-0.4391,2,0.9132,2,-0.8445
354,3,2,-0.4767,2,-0.0645,3,0.9484,2,-0.128
355,4,4,0.6901,3,0.2144,3,0.9653,3,0.8922
356,3,3,0.8622,3,0.1779,3,0.9639,3,0.5267
357,2,2,-0.6377,2,-0.4168,3,0.92,2,0.8431
358,3,4,0.8062,3,0.7428,4,0.8402,4,0.9661
359,6,4,0.7351,4,0.8558,4,0.5859,3,0.9831
360,4,3,0.6054,3,0.437,4,-0.0387,3,0.9067
361,4,2,-0.3765,2,0.7179,3,0.9167,2,0.5209
362,4,3,0.872,2,0.8109,3,0.9782,3,0.8484
363,2,3,0.7096,3,0.777,3,0.9505,3,0.7402
364,3,3,0.9186,3,0.6908,4,0.9719,3,0.9386
365,3,2,0.3919,2,0.2732,3,0.9078,2,-0.8614
366,4,2,-0.886,2,-0.8613,2,0.9348,2,-0.4867
367,5,4,0.7351,4,0.8608,4,0.9334,4,0.9169
368,2,3,0.8549,3,0.0717,4,0.9072,3,0.6808
369,2,3,0.7461,2,-0.7351,4,0.9844,3,0.5262
370,3,3,0.8641,3,0.9215,4,0.8225,3,0.7902
371,2,3,0.8976,2,-0.8381,3,0.9325,2,0.1853
372,6,4,0.8552,4,0.8922,4,0.7184,4,-0.4404
373,2,3,0.6737,2,-0.8275,3,0.9277,3,0.6418
374,2,3,0.7964,2,-0.9052,3,0.8268,2,0.507
375,2,2,-0.539,2,-0.8515,2,0.8625,2,0.624
376,4,3,0.8658,3,0.3071,3,0.8999,3,0.836
377,4,3,0.8712,3,0.4846,3,0.7501,3,0.5844
378,3,3,0.9604,3,-0.5547,3,0.97,3,0.8735
379,5,3,0.8442,3,-0.0168,4,0.9661,3,0.1901
380,4,2,-0.7714,3,0.1513,3,0.6486,3,-0.7464
381,2,3,0.7343,2,0.6286,3,0.9449,3,0.933
382,2,3,0.8326,2,-0.7506,3,0.4926,2,-0.0634
383,2,3,0.8231,3,0.9217,3,0.9743,3,-0.6597
384,1,3,0.2263,2,0.7469,3,0.8519,3,0.8621
385,2,2,-0.4777,2,0.1143,3,0.7955,2,-0.5267
386,4,4,0.5346,5,0.7351,4,0.9153,4,0.9432
387,3,3,0.8591,3,0.6365,4,0.886,3,0.8735
388,3,2,0.5994,2,0.778,3,0.9215,2,0.9327
389,2,3,0.9109,2,0.8402,4,0.8588,3,0.6652
390,3,3,-0.5859,2,-0.9413,3,0.9663,2,0.34
391,3,4,0.8779,3,0.3708,3,0.9722,3,0.5064
392,3,3,0.7992,3,-0.4588,4,0.8945,3,0.9011
393,4,4,0.5719,4,0.7717,4,0.9715,3,-0.5123
394,2,3,0.7314,3,-0.7108,4,0.9258,3,0.7026
395,3,2,0.8791,2,-0.7101,3,0.9113,2,-0.5187
396,4,3,0.4404,3,0.8126,4,0.631,3,-0.3837
397,3,3,0.7906,3,0.0045,3,0.7304,3,0.819
398,3,2,0.3818,2,0.8945,3,0.9471,2,-0.9209
399,3,3,0.882,2,0.906,3,0.9273,2,0.4569
400,3,3,0.9098,2,-0.765,3,0.7469,2,-0.9285
401,4,3,0.8658,2,-0.9101,3,0.92,2,0.2122
402,2,3,0.8555,2,-0.8428,3,0.937,3,0.4019
403,2,2,0.8658,2,-0.5719,3,0.8478,2,-0.4165
404,5,4,0.9413,4,0.8685,4,0.9555,4,0.9042
405,3,3,-0.7935,3,-0.7845,4,0.9912,3,0.9735
406,2,3,0.8537,2,0.6099,3,0.9829,3,0.8045
407,1,2,-0.7391,2,-0.9552,3,0.9223,2,-0.7684
408,4,3,-0.3506,2,-0.9593,3,0.9441,3,0.9565
409,4,3,0.912,3,0.2122,3,0.9606,3,0.4861
410,2,3,0.8997,2,-0.8743,3,0.359,3,0.7841
411,4,4,0.8074,3,0.9337,4,0.7712,3,0.6952
412,5,4,0.3796,4,0.9028,4,0.9337,4,0.8932
413,4,4,0.7269,3,0.8316,4,0.9359,3,0.8422
414,1,2,-0.6211,1,-0.6486,2,0.692,2,0.583
415,2,2,0.8442,3,-0.6956,3,0.3567,2,0.6361
416,3,3,0.8971,2,0.5994,3,0.9072,3,0.9835
417,1,2,0.0351,2,0.0772,3,0.6292,2,-0.0034
418,3,3,0.5106,3,0.6991,4,0.9137,3,0.3694
419,3,3,0.533,2,-0.9137,3,0.9663,2,0.8462
420,3,3,0.8717,2,0.9136,3,0.9716,3,0.0516
421,3,3,-0.4497,2,-0.7346,3,0.8356,3,0.7574
422,2,2,0.4519,2,-0.8388,3,0.8313,3,0.5439
423,4,3,-0.25,3,-0.8447,4,0.9402,3,0.9201
424,2,3,0.4678,2,-0.6096,3,0.9662,3,0.868
425,2,2,-0.5358,2,-0.128,3,0.9258,2,-0.296
426,2,3,0.5574,3,0.5606,3,0.9502,3,-0.7335
