i,score,my,my_sen,else,else_sen,nice,nice_sen,honest,honest_sen
61,1,2,0.5851,2,0.5267,3,0.9432,2,-0.5867
62,1,1,-0.4576,1,-0.872,2,0.8593,1,-0.7356
63,3,3,0.705,2,-0.5123,3,0.8537,3,-0.9022
64,4,4,0.7897,3,0.3182,4,0.7224,3,-0.0454
65,4,3,0.6369,3,0.4497,3,0.8419,3,-0.8634
66,4,3,0.7506,3,-0.0129,3,0.34,3,0.765
67,3,3,0.8746,3,0.4302,4,0.8481,3,0.8419
68,2,2,0.7968,2,0.6124,3,0.8763,2,0.7422
69,2,2,-0.204,2,0.0772,3,0.8221,2,-0.4514
70,2,3,0.6953,3,0.8022,3,0.8856,3,0.875
71,2,3,0.7252,3,-0.8442,3,0.8525,3,-0.6977
72,3,3,0.7427,2,-0.7652,3,0.9595,2,0.6808
73,6,4,0.1761,4,0.6908,4,0.8674,3,0.8554
74,4,4,0.9169,4,0.7391,4,0.6124,4,0.8214
75,3,3,0.9127,2,-0.626,3,0.9273,3,0.85
76,5,4,0.6597,5,0.9571,4,0.9839,4,0.714
77,6,3,0.8442,3,0.7328,4,0.9485,3,0.9516
78,3,3,0.4854,2,0.128,3,0.9625,3,0.3898
79,2,2,-0.8474,2,-0.7311,3,0.9732,2,0.0742
80,2,2,0.9769,2,-0.836,3,0.7712,2,0.8071
81,4,4,0.8126,3,0.3506,4,0.9686,3,0.7047
82,2,2,0.1131,2,-0.9054,3,0.9494,2,-0.8644
83,1,3,0.7893,5,0.7003,3,0.5859,3,-0.0308
84,4,3,0.8934,3,-0.296,3,0.8943,3,-0.3759
85,1,2,-0.5423,2,-0.6965,2,0.907,2,-0.854
86,3,3,0.4908,4,0.4404,4,0.4199,3,0.7553
87,4,3,0.6124,3,0.8705,3,0.8907,3,0.6369
88,3,2,-0.2263,2,0.128,3,0.953,2,0.085
89,2,3,-0.9382,3,0.4497,3,0.4569,3,0.6771
90,4,2,0.6848,2,-0.856,3,0.7003,2,-0.0074
91,4,3,-0.6757,3,-0.4215,3,0.8658,3,0.8689
92,2,2,0.3291,2,-0.9003,3,0.9458,2,0.5984
93,3,3,0.5563,3,-0.9325,3,0.7345,3,0.9107
94,2,2,0.4144,1,-0.4404,2,0.9414,2,0.5423
95,2,3,-0.8626,2,-0.4939,3,0.9649,2,0.5574
96,2,3,0.8673,3,0.3459,3,0.9686,2,0.8458
97,2,2,0.659,2,0.6121,2,0.9549,2,0.6326
98,2,2,0.5851,2,-0.9442,3,0.855,2,-0.6249
99,2,3,0.796,3,0.8126,4,0.7552,3,0.8993
